Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,150.89172169379304,152.01425406817717,150.39635075667442,151.49342830602245,151.09791233250093,2579159
2024-01-02,153.56917788818905,152.53124072701627,149.74825471314722,151.7168997036801,152.17159343107747,1907317
2024-01-03,153.49877955514356,153.40594180587547,153.21432987375883,153.5122767798815,152.81087962441345,3485367
2024-01-04,156.0006255637416,156.86212986861685,156.38599863929528,157.05833649269752,157.75926202409366,1321184
2024-01-05,157.91257465535404,158.90255556564506,156.48213789638302,157.09002974325085,156.7966011963507,2847191
2024-01-08,155.9009121793815,159.47799585792333,157.58527077748462,157.1217558293525,156.02652801644751,2471091
2024-01-09,160.98904505537203,161.70817133878697,159.4840611833027,160.7801814603673,161.27544962293263,1668234
2024-01-10,160.85538079479332,164.81858381656514,161.5539956464932,162.8150509186731,163.09819978347448,1378480
2024-01-11,161.04791609790476,163.73773817185082,161.37098869016074,162.3761021468032,162.32627646425937,3129863
2024-01-12,164.15808346984426,164.31610247937,163.19580936735028,163.96122223397512,164.21296006103321,1791971
2024-01-15,164.27285342834563,164.89578245385863,163.94975759040062,163.5343868483502,164.30971856388328,1501157
2024-01-16,163.27429562239968,165.64096390767565,162.52357266397505,163.1029273412097,163.0686458538067,1184423
2024-01-17,163.9712036019535,165.05102584523178,163.4295664008685,164.08685188434174,164.6180037412048,3613501
2024-01-18,160.45918769943688,163.32493505084017,160.56256866424778,160.76029139502617,160.5234951797086,2752290
2024-01-19,156.33193373963266,156.19071062591036,156.9717414416661,157.8104557300001,158.270167847117,1912495
2024-01-22,156.46603646312343,159.00778317589337,155.7818298147036,157.18588067151813,156.41091346900936,4803645
2024-01-23,155.19957965988954,156.7472654990875,152.7740325296388,155.6602184308493,156.05184507701742,3921944
2024-01-24,157.84583532225878,157.48970574557399,155.61413528320801,156.78871309603986,156.9497438541427,2785954
2024-01-25,155.8162832345659,156.56442572153293,154.21511455427466,155.47266494499743,155.0659063363126,1133272
2024-01-26,151.3850173869641,152.16048862772595,152.22250345809303,153.14805754232685,153.76348970054383,1767836
2024-01-29,156.90343904956475,157.35968319233245,157.498126295469,156.57935508016996,156.46562511286788,4083153
2024-01-30,156.24272019878055,157.98491505070862,155.65431635464608,156.62780247919687,155.97423110205565,3799487
2024-01-31,156.5859368882668,159.74075293331424,156.2026286786317,157.26285888857274,158.06660050585336,3904941
2024-02-01,155.52503880498668,155.39509229787217,151.45012040366052,154.9133625161458,154.82104558687965,4789137
2024-02-02,155.3555965895914,154.51610346420227,153.51695803187658,154.32459706709545,154.19465566997124,2126081
2024-02-05,155.97772236563137,155.54468520293062,153.74489490418156,155.04644224651517,154.65553081062652,3100021
2024-02-06,152.40523756844794,155.15985720937266,152.2791668613758,153.24445509167057,153.86293044710962,1781474
2024-02-07,154.1866387525107,155.8246022380216,154.66452916598146,154.49585112836192,155.15607943490406,3551503
2024-02-08,154.12583717992786,154.26481354475726,151.65175093400927,153.7945737485243,153.53360296571586,2360828
2024-02-09,154.68673137606012,155.22445368205112,151.959253216251,153.71118624893776,153.56269391232118,3733736
